Month,Protocol,Type,Lifetime (h)
1,RPL-AER,Simulated,500
1,RPL-AER,Real,480
1,RPL,Simulated,350
1,RPL,Real,340
2,RPL-AER,Simulated,498
2,RPL-AER,Real,482
2,RPL,Simulated,352
2,RPL,Real,342
3,RPL-AER,Simulated,502
3,RPL-AER,Real,478
3,RPL,Simulated,348
3,RPL,Real,338
4,RPL-AER,Simulated,495
4,RPL-AER,Real,485
4,RPL,Simulated,355
4,RPL,Real,345
5,RPL-AER,Simulated,501
5,RPL-AER,Real,479
5,RPL,Simulated,347
5,RPL,Real,339
6,RPL-AER,Simulated,497
6,RPL-AER,Real,483
6,RPL,Simulated,351
6,RPL,Real,343
7,RPL-AER,Simulated,499
7,RPL-AER,Real,481
7,RPL,Simulated,349
7,RPL,Real,341
8,RPL-AER,Simulated,496
8,RPL-AER,Real,477
8,RPL,Simulated,346
8,RPL,Real,337
9,RPL-AER,Simulated,503
9,RPL-AER,Real,486
9,RPL,Simulated,353
9,RPL,Real,346
10,RPL-AER,Simulated,494
10,RPL-AER,Real,475
10,RPL,Simulated,345
10,RPL,Real,336
11,RPL-AER,Simulated,500
11,RPL-AER,Real,484
11,RPL,Simulated,350
11,RPL,Real,344
12,RPL-AER,Simulated,498
12,RPL-AER,Real,480
12,RPL,Simulated,352
12,RPL,Real,340

